name,Img,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Chennai Super Kings,http://www.pngall.com/wp-content/uploads/2017/04/Chennai-Super-Kings-Logo-PNG.png,0,9,17,26,37,47,59,69,79,79,79,90,100
Deccan Chargers,http://www.pngall.com/wp-content/uploads/2017/04/Deccan-Chargers-Logo-PNG.png,0,2,11,19,25,29,29,29,29,29,29,29,29
Delhi Capitals,http://www.pngall.com/wp-content/uploads/2017/04/Delhi-Daredevils-Logo-PNG.png,0,7,17,24,28,39,42,44,49,56,62,67,77
Gujarat Lions,http://www.pngall.com/wp-content/uploads/2017/04/Gujarat-Lions-Logo-PNG.png,0,0,0,0,0,0,0,0,0,9,13,13,13
Kings XI Punjab,http://www.pngall.com/wp-content/uploads/2017/04/Kings-XI-Punjab-Logo-PNG.png,0,10,17,21,28,36,44,56,59,63,70,76,82
Kochi Tuskers Kerala,https://upload.wikimedia.org/wikipedia/en/9/96/Kochi_Tuskers_Kerala_Logo.svg,0,0,0,0,6,6,6,6,6,6,6,6,6
Kolkata Knight Riders,http://www.pngall.com/wp-content/uploads/2017/04/Kolkata-Knight-Riders-Logo-PNG.png,0,6,9,16,24,36,42,53,60,68,77,86,92
Mumbai Indians,http://www.pngall.com/wp-content/uploads/2017/04/Mumbai-Indians-Logo-PNG.png,0,7,12,23,33,43,56,63,73,80,92,98,109
Pune Warriors,https://upload.wikimedia.org/wikipedia/en/4/4a/Pune_Warriors_India_IPL_Logo.png,0,0,0,0,4,8,12,12,12,12,12,12,12
Rajasthan Royals,http://www.pngall.com/wp-content/uploads/2017/04/Rajasthan-Royals-Logo-PNG.png,0,13,19,25,31,38,49,56,63,63,63,70,75
Rising Pune Supergiants,http://www.pngall.com/wp-content/uploads/2017/04/Rising-Pune-Supergiants-Logo-PNG.png,0,0,0,0,0,0,0,0,0,5,15,15,15
Royal Challengers Bangalore,http://www.pngall.com/wp-content/uploads/2017/04/Royal-Challengers-Bangalore-Logo-PNG.png,0,4,13,21,31,39,48,53,61,70,73,79,84
Sunrisers Hyderabad,https://upload.wikimedia.org/wikipedia/en/8/81/Sunrisers_Hyderabad.svg,0,0,0,0,0,0,10,16,23,34,42,52,58